meta.url,meta.title,meta.record_date,meta.last_updated,record.rank,record.sales,record.total_seats,record.shows,record.theaters,record.since_last_week,record.name,record,record.cumulative_sales,record.estimated_box_office
https://mimorin2014.com/blog-entry-47122.html,（独立系を含む）デイリー合算ランキング：20240907(土),2024-09-07T00:00:00,2024-09-08T00:53:00.000Z,17.0,2395.0,5637.0,26.0,16.0,100.7,"KING OF PRISM －Dramatic PRISM.1－<div class=""google-auto-placed ap_container"" style=""width: 100%; height: auto; clear: both; text-align: center;""><ins data-ad-format=""auto"" class=""adsbygoogle adsbygoogle-noablate"" data-ad-client=""ca-pub-1446206033984935"" data-adsbygoogle-status=""done"" style=""display: block; margin: auto; background-color: transparent; height: 0px;""><div id=""aswift_5_host"" style=""border: none; height: 0px; width: 708px; margin: 0px; padding: 0px; position: relative; visibility: visible; background-color: transparent; display: inline-block; overflow: hidden; opacity: 0;""><iframe id=""aswift_5"" name=""aswift_5"" browsingtopics=""true"" style=""left: 0px; position: absolute; top: 0px; border: 0px; width: 708px; height: 0px;"" sandbox=""allow-forms allow-popups allow-popups-to-escape-sandbox allow-same-origin allow-scripts allow-top-navigation-by-user-activation"" width=""708"" height=""0"" frameborder=""0"" marginwidth=""0"" marginheight=""0"" vspace=""0"" hspace=""0"" allowtransparency=""true"" scrolling=""no"" allow=""attribution-reporting; run-ad-auction"" src=""https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-1446206033984935&amp;output=html&amp;h=280&amp;adk=113126082&amp;adf=2594566139&amp;pi=t.aa~a.2344727580~i.36~rp.1&amp;w=708&amp;abgtt=6&amp;fwrn=4&amp;fwrnh=100&amp;lmt=1725725676&amp;num_ads=1&amp;rafmt=1&amp;armr=3&amp;sem=mc&amp;pwprc=8619640303&amp;ad_type=text_image&amp;format=708x280&amp;url=https%3A%2F%2Fmimorin2014.com%2F%3Fcat%3D6%26page%3D0&amp;fwr=0&amp;pra=3&amp;rh=177&amp;rw=708&amp;rpe=1&amp;resp_fmts=3&amp;wgl=1&amp;fa=27&amp;uach=WyJXaW5kb3dzIiwiMTAuMCIsIng2NCIsIiIsIjEyOC4wLjY2MTMuMTgiLG51bGwsMCxudWxsLCI2NCIsW1siQ2hyb21pdW0iLCIxMjguMC42NjEzLjE4Il0sWyJOb3Q7QT1CcmFuZCIsIjI0LjAuMC4wIl0sWyJIZWFkbGVzc0Nocm9tZSIsIjEyOC4wLjY2MTMuMTgiXV0sMF0.&amp;dt=1725725676048&amp;bpp=3&amp;bdt=1436&amp;idt=-M&amp;shv=r20240904&amp;mjsv=m202409030101&amp;ptt=9&amp;saldr=aa&amp;abxe=1&amp;cookie=ID%3D243bfe4904c0b8da%3AT%3D1725725675%3ART%3D1725725675%3AS%3DALNI_MbTruM_7oFKsOlsmiS6FCZq9c2JWg&amp;gpic=UID%3D00000edb4691b013%3AT%3D1725725675%3ART%3D1725725675%3AS%3DALNI_MbVA2DGUhZL7g_xY52LgFZtJDtizA&amp;eo_id_str=ID%3D86367ce42029a879%3AT%3D1725725675%3ART%3D1725725675%3AS%3DAA-AfjaQ3C_IXF9DAcW8Jk-RtMqe&amp;prev_fmts=0x0%2C728x90%2C728x90%2C336x280%2C336x280&amp;nras=2&amp;correlator=6741237114672&amp;frm=20&amp;pv=1&amp;u_tz=0&amp;u_his=2&amp;u_h=720&amp;u_w=1280&amp;u_ah=720&amp;u_aw=1280&amp;u_cd=24&amp;u_sd=1&amp;dmc=8&amp;adx=101&amp;ady=896&amp;biw=1280&amp;bih=720&amp;scr_x=0&amp;scr_y=0&amp;eid=44759875%2C44759926%2C44759842%2C31086639%2C95338229%2C95341663%2C95342032%2C95340844&amp;oid=2&amp;psts=AOrYGsmYGwrw69yhvXKg2stblOFo9vC60wlh_14AQhJzGBsjCg_exMZaNmC3bG9Oyo4R2gjrZ_gn5MKa-0vtih7lXicTQVDDNo3eZrCf2DX2pzd7rIqcxw%2CAOrYGskcxQoArFaTn0n5frcGEhJeWLL7IVm88wEWs0pxG5krUf59rIm7L9FEIjF56d98u16iaIYVcKuiCtQsGSAtaldEE8Ad%2CAOrYGskNPuOHPwGY7F3IXbm-cZilXcxmCoB-CMA7JftOqXNbPr8GvBAZtPsbg9XwKyqsPdQwqm8hejU6HDHtutTazOwModqq&amp;pvsid=2468289080827444&amp;tmod=789687352&amp;uas=0&amp;nvt=1&amp;fc=1408&amp;brdim=0%2C0%2C0%2C0%2C1280%2C0%2C1280%2C720%2C1280%2C720&amp;vis=1&amp;rsz=%7C%7Cs%7C&amp;abl=NS&amp;fu=128&amp;bc=31&amp;bz=1&amp;td=1&amp;tdf=2&amp;psd=W251bGwsbnVsbCxudWxsLDNd&amp;nt=1&amp;ifi=6&amp;uci=a!6&amp;btvi=2&amp;fsb=1&amp;dtd=40"" data-google-container-id=""a!6"" tabindex=""0"" title=""Advertisement"" aria-label=""Advertisement"" data-google-query-id=""CKHDno-dsYgDFSuv0QQdVXMwfg"" data-load-complete=""true""></iframe></div></ins></div>",,50007.0,90012600.0
https://mimorin2014.com/blog-entry-47129.html,（独立系を含む）デイリー合算ランキング：20240908(日),2024-09-08T00:00:00,2024-09-09T00:53:00.000Z,,,,,,,,,,
https://mimorin2014.com/blog-entry-47138.html,（独立系を含む）デイリー合算ランキング：20240909(月),2024-09-09T00:00:00,2024-09-10T00:53:00.000Z,24.0,707.0,5699.0,26.0,15.0,86.7,KING OF PRISM －Dramatic PRISM.1－,,50714.0,91285200.0
https://mimorin2014.com/blog-entry-47145.html,（独立系を含む）デイリー合算ランキング：20240910(火),2024-09-10T00:00:00,2024-09-11T00:53:00.000Z,,,,,,,,,,
https://mimorin2014.com/blog-entry-47152.html,（独立系を含む）デイリー合算ランキング：20240911(水),2024-09-11T00:00:00,2024-09-12T00:53:00.000Z,24.0,909.0,6070.0,26.0,15.0,97.6,KING OF PRISM －Dramatic PRISM.1－,,51623.0,92921400.0
https://mimorin2014.com/blog-entry-47159.html,（独立系を含む）デイリー合算ランキング：20240912(木),2024-09-12T00:00:00,2024-09-13T00:53:00.000Z,23.0,745.0,4572.0,24.0,16.0,68.4,KING OF PRISM －Dramatic PRISM.1－,,52368.0,94262400.0
https://mimorin2014.com/blog-entry-47166.html,（独立系を含む）デイリー合算ランキング：20240913(金),2024-09-13T00:00:00,2024-09-14T00:53:00.000Z,19.0,1154.0,6830.0,36.0,22.0,65.3,KING OF PRISM －Dramatic PRISM.1－,,53522.0,96339600.0
https://mimorin2014.com/blog-entry-47175.html,（独立系を含む）デイリー合算ランキング：20240914(土),2024-09-14T00:00:00,2024-09-15T00:53:00.000Z,22.0,1950.0,7297.0,37.0,22.0,81.4,KING OF PRISM －Dramatic PRISM.1－,,55472.0,99849600.0
https://mimorin2014.com/blog-entry-47182.html,（独立系を含む）デイリー合算ランキング：20240915(日),2024-09-15T00:00:00,2024-09-16T00:53:00.000Z,21.0,2175.0,7352.0,36.0,22.0,238.5,KING OF PRISM －Dramatic PRISM.1－,,57647.0,103764600.0
https://mimorin2014.com/blog-entry-47191.html,（独立系を含む）デイリー合算ランキング：20240916(月),2024-09-16T00:00:00,2024-09-17T00:53:00.000Z,22.0,1673.0,8360.0,39.0,22.0,236.6,KING OF PRISM －Dramatic PRISM.1－,,59320.0,106776000.0
https://mimorin2014.com/blog-entry-47198.html,（独立系を含む）デイリー合算ランキング：20240917(火),2024-09-17T00:00:00,2024-09-18T00:53:00.000Z,,,,,,,,,,
https://mimorin2014.com/blog-entry-47205.html,（独立系を含む）デイリー合算ランキング：20240918(水),2024-09-18T00:00:00,2024-09-19T00:53:00.000Z,,,,,,,,,,
https://mimorin2014.com/blog-entry-47212.html,（独立系を含む）デイリー合算ランキング：20240919(木),2024-09-19T00:00:00,2024-09-20T00:53:00.000Z,,,,,,,,,,
https://mimorin2014.com/blog-entry-47219.html,（独立系を含む）デイリー合算ランキング：20240920(金),2024-09-20T00:00:00,2024-09-21T00:53:00.000Z,21.0,1234.0,5098.0,26.0,21.0,106.9,KING OF PRISM －Dramatic PRISM.1－,,60554.0,108997200.0
https://mimorin2014.com/blog-entry-47228.html,（独立系を含む）デイリー合算ランキング：20240921(土),2024-09-21T00:00:00,2024-09-22T00:53:00.000Z,,,,,,,,,,
https://mimorin2014.com/blog-entry-47235.html,（独立系を含む）デイリー合算ランキング：20240922(日),2024-09-22T00:00:00,2024-09-23T00:53:00.000Z,24.0,1701.0,4884.0,23.0,20.0,78.2,KING OF PRISM －Dramatic PRISM.1－,,62255.0,112059000.0
https://mimorin2014.com/blog-entry-47242.html,（独立系を含む）デイリー合算ランキング：20240923(月),2024-09-23T00:00:00,2024-09-24T00:53:00.000Z,19.0,489.0,2954.0,14.0,19.0,29.2,KING OF PRISM －Dramatic PRISM.1－,,62744.0,112939200.0
https://mimorin2014.com/blog-entry-47249.html,（独立系を含む）デイリー合算ランキング：20240924(火),2024-09-24T00:00:00,2024-09-25T00:53:00.000Z,,,,,,,,,,
https://mimorin2014.com/blog-entry-47256.html,（独立系を含む）デイリー合算ランキング：20240925(水),2024-09-25T00:00:00,2024-09-26T00:53:00.000Z,,,,,,,,,,
https://mimorin2014.com/blog-entry-47263.html,（独立系を含む）デイリー合算ランキング：20240926(木),2024-09-26T00:00:00,2024-09-27T00:53:00.000Z,,,,,,,,,,
https://mimorin2014.com/blog-entry-47270.html,（独立系を含む）デイリー合算ランキング：20240927(金),2024-09-27T00:00:00,2024-09-28T00:53:00.000Z,25.0,1346.0,4412.0,21.0,16.0,109.1,KING OF PRISM －Dramatic PRISM.1－,,64090.0,115362000.0
https://mimorin2014.com/blog-entry-47279.html,（独立系を含む）デイリー合算ランキング：20240928(土),2024-09-28T00:00:00,2024-09-29T00:53:00.000Z,,,,,,,,,,
https://mimorin2014.com/blog-entry-47286.html,（独立系を含む）デイリー合算ランキング：20240929(日),2024-09-29T00:00:00,2024-09-30T00:53:00.000Z,,,,,,,,,,
https://mimorin2014.com/blog-entry-47295.html,（独立系を含む）デイリー合算ランキング：20240930(月),2024-09-30T00:00:00,2024-10-01T00:53:00.000Z,,,,,,,,,,
https://mimorin2014.com/blog-entry-47302.html,（独立系を含む）デイリー合算ランキング：20241001(火),2024-10-01T00:00:00,2024-10-02T00:53:00.000Z,,,,,,,,,,
https://mimorin2014.com/blog-entry-47309.html,（独立系を含む）デイリー合算ランキング：20241002(水),2024-10-02T00:00:00,2024-10-03T00:53:00.000Z,,,,,,,,,,
https://mimorin2014.com/blog-entry-47316.html,（独立系を含む）デイリー合算ランキング：20241003(木),2024-10-03T00:00:00,2024-10-04T00:53:00.000Z,24.0,853.0,4820.0,25.0,20.0,183.4,KING OF PRISM －Dramatic PRISM.1－,,64943.0,116897400.0
https://mimorin2014.com/blog-entry-47323.html,（独立系を含む）デイリー合算ランキング：20241004(金),2024-10-04T00:00:00,2024-10-05T00:53:00.000Z,,,,,,,,,,
https://mimorin2014.com/blog-entry-47332.html,（独立系を含む）デイリー合算ランキング：20241005(土),2024-10-05T00:00:00,2024-10-06T00:53:00.000Z,,,,,,,,,,
https://mimorin2014.com/blog-entry-47339.html,（独立系を含む）デイリー合算ランキング：20241006(日),2024-10-06T00:00:00,2024-10-07T00:53:00.000Z,,,,,,,,,,
https://mimorin2014.com/blog-entry-47348.html,（独立系を含む）デイリー合算ランキング：20241007(月),2024-10-07T00:00:00,2024-10-08T00:53:00.000Z,,,,,,,,,,
https://mimorin2014.com/blog-entry-47355.html,（独立系を含む）デイリー合算ランキング：20241008(火),2024-10-08T00:00:00,2024-10-09T00:53:00.000Z,,,,,,,,,,
https://mimorin2014.com/blog-entry-47362.html,（独立系を含む）デイリー合算ランキング：20241009(水),2024-10-09T00:00:00,2024-10-10T00:53:00.000Z,,,,,,,,,,
https://mimorin2014.com/blog-entry-47369.html,（独立系を含む）デイリー合算ランキング：20241010(木),2024-10-10T00:00:00,2024-10-11T00:53:00.000Z,,,,,,,,,,
https://mimorin2014.com/blog-entry-47376.html,（独立系を含む）デイリー合算ランキング：20241011(金),2024-10-11T00:00:00,2024-10-12T00:53:00.000Z,,,,,,,,,,
https://mimorin2014.com/blog-entry-47385.html,（独立系を含む）デイリー合算ランキング：20241012(土),2024-10-12T00:00:00,2024-10-13T00:53:00.000Z,,,,,,,,,,
https://mimorin2014.com/blog-entry-47392.html,（独立系を含む）デイリー合算ランキング：20241013(日),2024-10-13T00:00:00,2024-10-14T00:53:00.000Z,,,,,,,,,,
https://mimorin2014.com/blog-entry-47401.html,（独立系を含む）デイリー合算ランキング：20241014(月),2024-10-14T00:00:00,2024-10-15T00:53:00.000Z,,,,,,,,,,
https://mimorin2014.com/blog-entry-47408.html,（独立系を含む）デイリー合算ランキング：20241015(火),2024-10-15T00:00:00,2024-10-16T00:53:00.000Z,,,,,,,,,,
https://mimorin2014.com/blog-entry-47415.html,（独立系を含む）デイリー合算ランキング：20241016(水),2024-10-16T00:00:00,2024-10-17T00:53:00.000Z,,,,,,,,,,
https://mimorin2014.com/blog-entry-47422.html,（独立系を含む）デイリー合算ランキング：20241017(木),2024-10-17T00:00:00,2024-10-18T00:53:00.000Z,,,,,,,,,,
https://mimorin2014.com/blog-entry-47429.html,（独立系を含む）デイリー合算ランキング：20241018(金),2024-10-18T00:00:00,2024-10-19T00:53:00.000Z,,,,,,,,,,
https://mimorin2014.com/blog-entry-47438.html,（独立系を含む）デイリー合算ランキング：20241019(土),2024-10-19T00:00:00,2024-10-20T00:53:00.000Z,,,,,,,,,,
https://mimorin2014.com/blog-entry-47445.html,（独立系を含む）デイリー合算ランキング：20241020(日),2024-10-20T00:00:00,2024-10-21T00:53:00.000Z,,,,,,,,,,
https://mimorin2014.com/blog-entry-47454.html,（独立系を含む）デイリー合算ランキング：20241021(月),2024-10-21T00:00:00,2024-10-22T00:53:00.000Z,,,,,,,,,,
https://mimorin2014.com/blog-entry-47459.html,（独立系を含む）デイリー合算ランキング：20241022(火),2024-10-22T00:00:00,2024-10-23T00:53:00.000Z,,,,,,,,,,
https://mimorin2014.com/blog-entry-47466.html,（独立系を含む）デイリー合算ランキング：20241023(水),2024-10-23T00:00:00,2024-10-24T00:53:00.000Z,,,,,,,,,,
https://mimorin2014.com/blog-entry-47471.html,（独立系を含む）デイリー合算ランキング：20241024(木),2024-10-24T00:00:00,2024-10-25T00:53:00.000Z,,,,,,,,,,
https://mimorin2014.com/blog-entry-47478.html,（独立系を含む）デイリー合算ランキング：20241025(金),2024-10-25T00:00:00,2024-10-26T00:53:00.000Z,16.0,1765.0,9715.0,74.0,39.0,,も～っと煌めく!KING OF PRISM －Dramatic PRISM.1－,,66708.0,120074400.0
https://mimorin2014.com/blog-entry-47487.html,（独立系を含む）デイリー合算ランキング：20241026(土),2024-10-26T00:00:00,2024-10-27T00:53:00.000Z,23.0,2155.0,9969.0,76.0,39.0,,も～っと煌めく!KING OF PRISM －Dramatic PRISM.1－,,68863.0,123953400.0
https://mimorin2014.com/blog-entry-47494.html,（独立系を含む）デイリー合算ランキング：20241027(日),2024-10-27T00:00:00,2024-10-28T00:53:00.000Z,,,,,,,,,,
https://mimorin2014.com/blog-entry-47503.html,（独立系を含む）デイリー合算ランキング：20241028(月),2024-10-28T00:00:00,2024-10-29T00:53:00.000Z,20.0,922.0,9906.0,74.0,39.0,,も～っと煌めく!KING OF PRISM －Dramatic PRISM.1－,,69785.0,125613000.0
https://mimorin2014.com/blog-entry-47510.html,（独立系を含む）デイリー合算ランキング：20241029(火),2024-10-29T00:00:00,2024-10-30T00:53:00.000Z,18.0,812.0,9349.0,69.0,38.0,,も～っと煌めく!KING OF PRISM －Dramatic PRISM.1－,,70597.0,127074600.0
https://mimorin2014.com/blog-entry-47517.html,（独立系を含む）デイリー合算ランキング：20241030(水),2024-10-30T00:00:00,2024-10-31T00:53:00.000Z,21.0,848.0,9678.0,73.0,38.0,,"も～っと煌めく!KING OF PRISM －Dramatic PRISM.1－<div class=""google-auto-placed ap_container"" style=""width: 100%; height: auto; clear: both; text-align: center;""><ins data-ad-format=""auto"" class=""adsbygoogle adsbygoogle-noablate"" data-ad-client=""ca-pub-1446206033984935"" data-adsbygoogle-status=""done"" style=""display: block; margin: auto; background-color: transparent; height: 0px;""><div id=""aswift_5_host"" style=""border: none; height: 0px; width: 708px; margin: 0px; padding: 0px; position: relative; visibility: visible; background-color: transparent; display: inline-block; overflow: hidden; opacity: 0;""><iframe id=""aswift_5"" name=""aswift_5"" browsingtopics=""true"" style=""left: 0px; position: absolute; top: 0px; border: 0px; width: 708px; height: 0px;"" sandbox=""allow-forms allow-popups allow-popups-to-escape-sandbox allow-same-origin allow-scripts allow-top-navigation-by-user-activation"" width=""708"" height=""0"" frameborder=""0"" marginwidth=""0"" marginheight=""0"" vspace=""0"" hspace=""0"" allowtransparency=""true"" scrolling=""no"" allow=""attribution-reporting; run-ad-auction"" src=""https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-1446206033984935&amp;output=html&amp;h=280&amp;adk=88996912&amp;adf=819707672&amp;pi=t.aa~a.2344727580~i.44~rp.1&amp;w=708&amp;abgtt=6&amp;fwrn=4&amp;fwrnh=100&amp;lmt=1730305054&amp;num_ads=1&amp;rafmt=1&amp;armr=3&amp;sem=mc&amp;pwprc=8619640303&amp;ad_type=text_image&amp;format=708x280&amp;url=https%3A%2F%2Fmimorin2014.com%2F%3Fcat%3D6%26page%3D0&amp;fwr=0&amp;pra=3&amp;rh=177&amp;rw=708&amp;rpe=1&amp;resp_fmts=3&amp;wgl=1&amp;fa=27&amp;uach=WyJXaW5kb3dzIiwiMTAuMCIsIng2NCIsIiIsIjEyOC4wLjY2MTMuMTgiLG51bGwsMCxudWxsLCI2NCIsW1siQ2hyb21pdW0iLCIxMjguMC42NjEzLjE4Il0sWyJOb3Q7QT1CcmFuZCIsIjI0LjAuMC4wIl0sWyJIZWFkbGVzc0Nocm9tZSIsIjEyOC4wLjY2MTMuMTgiXV0sMF0.&amp;dt=1730305054797&amp;bpp=3&amp;bdt=940&amp;idt=-M&amp;shv=r20241024&amp;mjsv=m202410240101&amp;ptt=9&amp;saldr=aa&amp;abxe=1&amp;cookie=ID%3Dcdce7c8ad197cd9b%3AT%3D1730305054%3ART%3D1730305054%3AS%3DALNI_MZIBvO-vwuGecqK_z98NP-h0B8Ubg&amp;gpic=UID%3D00000f44938763d2%3AT%3D1730305054%3ART%3D1730305054%3AS%3DALNI_MZG8VPa9rLKeP7qWiNX1UItyQXkcg&amp;eo_id_str=ID%3Dd4ca7cc6633ce6e0%3AT%3D1730305054%3ART%3D1730305054%3AS%3DAA-AfjaHrCKbQd-sgP4kJXX2HADb&amp;prev_fmts=0x0%2C728x90%2C728x90%2C336x280%2C336x280&amp;nras=2&amp;correlator=4260487167578&amp;frm=20&amp;pv=1&amp;u_tz=0&amp;u_his=2&amp;u_h=720&amp;u_w=1280&amp;u_ah=720&amp;u_aw=1280&amp;u_cd=24&amp;u_sd=1&amp;dmc=8&amp;adx=101&amp;ady=958&amp;biw=1280&amp;bih=720&amp;scr_x=0&amp;scr_y=0&amp;eid=44759875%2C44759926%2C31088481%2C31088483%2C95344189%2C95335246%2C95345788%2C95345963&amp;oid=2&amp;pvsid=3972703372731350&amp;tmod=1136017487&amp;uas=0&amp;nvt=1&amp;fc=1408&amp;brdim=0%2C0%2C0%2C0%2C1280%2C0%2C1280%2C720%2C1280%2C720&amp;vis=1&amp;rsz=%7C%7Cs%7C&amp;abl=NS&amp;fu=128&amp;bc=31&amp;bz=1&amp;td=1&amp;tdf=2&amp;psd=W251bGwsbnVsbCxudWxsLDNd&amp;nt=1&amp;ifi=6&amp;uci=a!6&amp;btvi=2&amp;fsb=1&amp;dtd=18"" data-google-container-id=""a!6"" tabindex=""0"" title=""Advertisement"" aria-label=""Advertisement"" data-google-query-id=""CO3ZltHAtokDFRnIrQAd4lYqog"" data-load-complete=""true""></iframe></div></ins></div>",,71445.0,128601000.0
https://mimorin2014.com/blog-entry-47524.html,（独立系を含む）デイリー合算ランキング：20241031(木),2024-10-31T00:00:00,2024-11-01T00:53:00.000Z,18.0,864.0,9772.0,71.0,38.0,,も～っと煌めく!KING OF PRISM －Dramatic PRISM.1－,,72309.0,130156200.0
https://mimorin2014.com/blog-entry-47531.html,（独立系を含む）デイリー合算ランキング：20241101(金),2024-11-01T00:00:00,2024-11-02T00:53:00.000Z,23.0,624.0,4070.0,28.0,15.0,35.4,も～っと煌めく!KING OF PRISM －Dramatic PRISM.1－,,72933.0,131279400.0
https://mimorin2014.com/blog-entry-47540.html,（独立系を含む）デイリー合算ランキング：20241102(土),2024-11-02T00:00:00,2024-11-03T00:53:00.000Z,25.0,1000.0,4213.0,29.0,16.0,46.4,も～っと煌めく!KING OF PRISM －Dramatic PRISM.1－,,73933.0,133079400.0
https://mimorin2014.com/blog-entry-47547.html,（独立系を含む）デイリー合算ランキング：20241103(日),2024-11-03T00:00:00,2024-11-04T00:53:00.000Z,,,,,,,,,,
https://mimorin2014.com/blog-entry-47556.html,（独立系を含む）デイリー合算ランキング：20241104(月),2024-11-04T00:00:00,2024-11-05T00:53:00.000Z,,,,,,,,,,
https://mimorin2014.com/blog-entry-47563.html,（独立系を含む）デイリー合算ランキング：20241105(火),2024-11-05T00:00:00,2024-11-06T00:53:00.000Z,21.0,537.0,4416.0,31.0,16.0,66.1,も～っと煌めく!KING OF PRISM －Dramatic PRISM.1－,,74470.0,134046000.0
https://mimorin2014.com/blog-entry-47570.html,（独立系を含む）デイリー合算ランキング：20241106(水),2024-11-06T00:00:00,2024-11-07T00:53:00.000Z,23.0,565.0,4268.0,30.0,16.0,66.6,も～っと煌めく!KING OF PRISM －Dramatic PRISM.1－,,75035.0,135063000.0
